id,name,email,country,joined
CUST-1,Customer 1,user1@example.com,CA,2025-08-21
CUST-2,Customer 2,user2@example.com,USA,2025-02-13
CUST-3,Customer 3,user3@example.com,CA,2025-03-29
CUST-4,Customer 4,user4@example.com,DE,2023-07-01
CUST-5,Customer 5,user5@example.com,CA,2020-04-08
CUST-6,Customer 6,user6@example.com,UK,2021-01-17
CUST-7,Customer 7,user7@example.com,DE,2025-04-17
CUST-8,Customer 8,user8@example.com,CA,2022-12-28
CUST-9,Customer 9,user9@example.com,CA,2023-09-21
CUST-10,Customer 10,user10@example.com,DE,2025-09-06
CUST-11,Customer 11,user11@example.com,CA,2021-06-22
CUST-12,Customer 12,user12@example.com,UK,2025-02-12
CUST-13,Customer 13,user13@example.com,USA,2023-04-29
CUST-14,Customer 14,user14@example.com,USA,2020-05-24
CUST-15,Customer 15,user15@example.com,DE,2020-04-28
CUST-16,Customer 16,user16@example.com,UK,2022-05-30
CUST-17,Customer 17,user17@example.com,UK,2025-07-02
CUST-18,Customer 18,user18@example.com,USA,2020-09-28
CUST-19,Customer 19,user19@example.com,UK,2025-02-13
CUST-20,Customer 20,user20@example.com,UK,2021-05-07
CUST-21,Customer 21,user21@example.com,UK,2022-03-10
CUST-22,Customer 22,user22@example.com,CA,2023-06-12
CUST-23,Customer 23,user23@example.com,CA,2020-11-02
CUST-24,Customer 24,user24@example.com,UK,2025-02-09
CUST-25,Customer 25,user25@example.com,USA,2021-02-12
CUST-26,Customer 26,user26@example.com,USA,2024-01-26
CUST-27,Customer 27,user27@example.com,USA,2021-07-06
CUST-28,Customer 28,user28@example.com,USA,2021-10-14
CUST-29,Customer 29,user29@example.com,UK,2024-10-13
CUST-30,Customer 30,user30@example.com,DE,2022-02-16
CUST-31,Customer 31,user31@example.com,DE,2023-06-08
CUST-32,Customer 32,user32@example.com,CA,2020-10-11
CUST-33,Customer 33,user33@example.com,USA,2024-09-09
CUST-34,Customer 34,user34@example.com,DE,2020-12-04
CUST-35,Customer 35,user35@example.com,DE,2020-11-24
CUST-36,Customer 36,user36@example.com,CA,2025-07-18
CUST-37,Customer 37,user37@example.com,USA,2025-03-09
CUST-38,Customer 38,user38@example.com,UK,2023-04-13
CUST-39,Customer 39,user39@example.com,DE,2024-06-16
CUST-40,Customer 40,user40@example.com,UK,2022-02-05
CUST-41,Customer 41,user41@example.com,USA,2020-08-18
CUST-42,Customer 42,user42@example.com,CA,2025-07-26
CUST-43,Customer 43,user43@example.com,UK,2022-01-24
CUST-44,Customer 44,user44@example.com,UK,2020-01-26
CUST-45,Customer 45,user45@example.com,DE,2023-07-20
CUST-46,Customer 46,user46@example.com,DE,2023-05-07
CUST-47,Customer 47,user47@example.com,UK,2020-12-13
CUST-48,Customer 48,user48@example.com,CA,2020-11-29
CUST-49,Customer 49,user49@example.com,USA,2023-07-01
CUST-50,Customer 50,user50@example.com,CA,2021-12-20
