id,name,grade
STU-1,Student 1,7
STU-2,Student 2,10
STU-3,Student 3,5
STU-4,Student 4,7
STU-5,Student 5,10
STU-6,Student 6,3
STU-7,Student 7,5
STU-8,Student 8,6
STU-9,Student 9,4
STU-10,Student 10,1
STU-11,Student 11,4
,Student 12,10
STU-13,Student 13,10
STU-14,Student 14,12
STU-15,Student 15,2
STU-16,Student 16,2
STU-17,Student 17,7
STU-18,Student 18,5
STU-19,Student 19,12
STU-20,Student 20,10
21/STU,Student 21,2
STU-22,Student 22,10
STU-23,Student 23,1
STU-24,Student 24,
STU-25,Student 25,2
STU-26,Student 26,1
STU-27,Student 27,6
STU-28,Student 28,4
STU-29,Student 29,9
STU-30,Student 30,9
STU-31,Student 31,2
STU-32,Student 32,4
STU-33,Student 33,8
STU-34,Student 34,4
STU-35,Student 35,3
STU-36,Student 36,12
STU-37,Student 37,6
STU-38,Student 38,1
STU-39,Student 39,11
STU-40,Student 40,7
STU-41,Student 41,
STU-42,student 42,12
STU-43,Student 43,10
STU-44,Student 44,5
STU-45,Student 45,7
STU-46,Student 46,11
STU-47,Student 47,7
STU-48,Student 48,5
STU-49,Student 49,1
STU-50,Student 50,3
